olddate,date,time,hour,Species,Re,Vi,Lo,Dr,Fe,Gr,N,P,Nso,PSo,O,OOS,Total,Z1,Z2,Z3,Z4,Z5,Z6,Total
,12/21/2018,4pm,16,GK,2,,,,4,,,,,,,,,,,3,2,1,,
,12/21/2018,5pm,17,GK,3,,,,1,2,,,,,,,,,,1,3,,2,
,12/21/2018,6pm,18,GK,,,1,1,4,,,,,,,,,,,,4,,2,
12/22/2018,12/22/2018,9am ,9,GK,2,2,1,,,1,,,,,,,,,,,5,,,
,12/22/2018,10am,10,GK,4,,,,1,1,,,,,,,,,,,3,3,,
,12/22/2018,11am,11,GK,6,,,,,,,,,,,,,,,,6,,,
,12/22/2018,12pm,12,GK,1,1,1,,3,,,,,,,,,,,,4,2,,
,12/22/2018,1pm,13,GK,5,,,,,1,,,,,,,,,,,6,,,
,12/22/2018,2pm,14,GK,6,,,,,,,,,,,,,,,,6,,,
,12/22/2018,3pm,15,GK,4,1,,,,1,,,,,,,,,,,6,,,
,12/22/2018,4pm,16,GK,1,,,,5,,,,,,,,,,,,5,1,,
,12/22/2018,5pm,17,GK,2,,,,2,2,,,,,,,,,,,3,,3,
,12/22/2018,6pm,18,GK,2,,,,4,,,,,,,,,,,,3,,3,
12/23/2018,12/23/2018,9am ,9,GK,6,,,,,,,,,,,,,,3,,3,,,
,12/23/2018,10am,10,GK,4,,,,,2,,,,,,,,,,,6,,,
,12/23/2018,11am,11,GK,1,1,,,4,,,,,,,,,,,,6,,,
,12/23/2018,12pm,12,GK,6,,,,,,,,,,,,,,,,6,,,
,12/23/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/23/2018,2pm,14,GK,6,,,,,,,,,,,,,,,,6,,,
,12/23/2018,3pm,15,GK,4,1,,1,,,,,,,,,,,,1,5,,,
,12/23/2018,4pm,16,GK,4,,1,,,1,,,,,,,,,,,6,,,
,12/23/2018,5pm,17,GK,2,,,,4,,,,,,,,,,,,6,,,
,12/23/2018,6pm,18,GK,,1,,,4,1,,,,,,,,,,,6,,,
12/24/2018,12/24/2018,9am ,9,GK,,3,,,1,2,,,,,,,,,,6,,,,
,12/24/2018,10am,10,GK,2,1,,,3,,,,,,,,,,,,4,2,,
,12/24/2018,11am,11,GK,,,1,,5,,,,,,,,,,,5,,1,,
,12/24/2018,12pm,12,GK,2,,,,3,1,,,,,,,,,,6,,,,
,12/24/2018,1pm,13,GK,6,,,,,,,,,,,,,,,6,,,,
,12/24/2018,2pm,14,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/24/2018,3pm,15,GK,4,,,,1,1,,,,,,,,,,1,4,1,,
,12/24/2018,4pm,16,GK,1,1,,,4,,,,,,,,,,,,5,,1,
,12/24/2018,5pm,17,GK,5,,,,1,,,,,,,,,,,,3,,3,
,12/24/2018,6pm,18,GK,4,,,2,,,,,,,,,,,,3,,,3,
12/25/2018,12/25/2018,9am ,9,GK,1,4,1,,,,,,,,,,,,2,,1,,3,
,12/25/2018,10am,10,GK,1,2,,,3,,,,,,,,,,,3,3,,,
,12/25/2018,11am,11,GK,,,,,6,,,,,,,,,,,,6,,,
,12/25/2018,12pm,12,GK,5,1,,,,,,,,,,,,,,,6,,,
,12/25/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/25/2018,2pm,14,GK,4,1,,1,,,,,,,,,,,,1,5,,,
,12/25/2018,3pm,15,GK,4,,,1,1,,,,,,,,,,,1,5,,,
,12/25/2018,4pm,16,GK,4,1,1,,,,,,,,,,,,,,6,,,
,12/25/2018,5pm,17,GK,1,,,,3,2,,,,,,,,,,,6,,,
,12/25/2018,6pm,18,GK,,,,,6,,,,,,,,,,,,6,,,
12/26/2018,12/26/2018,9am ,9,GK,,1,,,3,,,,,,,,,,,1,3,2,,
,12/26/2018,10am,10,GK,2,,,,3,1,,,,,,,,,,3,3,,,
,12/26/2018,11am,11,GK,3,,,,3,,,,,,,,,,,5,1,,,
,12/26/2018,12pm,12,GK,2,1,,,3,,,,,,,,,,,,6,,,
